,Iter,Noise,Clip,Priv_Calc_Time,Epsilon,Train_Time,Revenue,Regret,Reg_Loss,Lag_Loss,Net_Loss,w_rgt_mean,update_rate
0,1000,1,10,11.259728908538818,4.8898327706515605,274.736585855484,4.991526126861572,0.998295783996582,3.1140952110290527,15.205513954162598,13.328083038330078,4.866328239440918,0.25
1,2000,1,10,23.727301120758057,6.33117179873628,627.2385873794556,4.998811721801758,0.9997624158859253,3.1234958171844482,-22.793733596801758,-24.669050216674805,5.156569004058838,0.25
2,3000,1,10,36.90772080421448,7.511216451316322,1047.3753311634064,0.0002742561337072402,5.486443842528388e-05,3.6805924974459003e-09,0.0020126746967434883,0.0017384222010150552,7.337571144104004,0.25
3,4000,1,10,51.70438599586487,8.554617806429139,1547.4334812164307,4.972182273864746,0.9944365620613098,3.090216636657715,-77.14794158935547,-79.0299072265625,5.178244590759277,0.25
4,5000,1,10,63.64498496055603,9.503426030945558,2042.7706577777863,4.995676040649414,0.9991353154182434,3.119565725326538,-18.30999183654785,-20.18610191345215,2.5888962745666504,0.25
5,6000,1,10,73.05330300331116,10.393605238169098,2534.8750252723694,5.005738258361816,1.0011475086212158,3.132127523422241,-24.20823860168457,-26.081850051879883,1.2287366390228271,0.25
6,7000,1,10,85.29479002952576,11.226383489195285,3025.3205530643463,4.9615654945373535,0.9923130869865417,3.077122688293457,-11.174277305603027,-13.058719635009766,6.3232622146606445,0.25
7,8000,1,10,96.65979599952698,12.021040919069907,3509.857970237732,4.88370418548584,0.976740837097168,2.9813079833984375,-2.6315646171569824,-4.533960819244385,5.956118583679199,0.25
8,9000,1,10,110.66455912590027,12.794445633463088,3995.6699731349945,0.0006011895020492375,0.00010561166709521785,1.0475680767285667e-08,0.005739743821322918,0.005138564854860306,10.78919506072998,0.25
9,10000,1,10,128.75473618507385,13.526390490715782,4474.27087187767,0.00023595226230099797,3.755288389584166e-06,1.8097280618523115e-11,0.0003339722170494497,9.801996930036694e-05,14.626653671264648,0.25
10,11000,1,10,137.6485950946808,14.243876922831461,4935.66090297699,0.00030023971339687705,3.207457120879553e-05,2.954571476365686e-09,5.3865824156673625e-05,-0.0002463709097355604,12.167376518249512,0.25
11,12000,1,10,153.38551688194275,14.950893998470425,5434.33682179451,4.5501648855861276e-05,7.372906111413613e-06,8.709183374477902e-11,0.001073267194442451,0.0010277656838297844,16.381183624267578,0.25
12,13000,1,10,157.78679084777832,15.615616206692591,5884.650226354599,2.9662853194167838e-05,1.6375167888327269e-06,3.746423744149796e-12,0.00019622771651484072,0.00016656485968269408,13.223623275756836,0.25
13,14000,1,10,173.73827481269836,16.28033841491476,6326.933020591736,2.449902967782691e-05,9.720582738736994e-07,1.1243453000228665e-12,0.00010715270764194429,8.265367796411738e-05,14.945757865905762,0.25
14,15000,1,10,182.0082869529724,16.945060623136925,6767.355129241943,2.1486201148945838e-05,6.66569917484594e-07,5.836664701899807e-13,5.768547271145508e-05,3.619927156250924e-05,13.355474472045898,0.25
15,16000,1,10,203.1891360282898,17.574250712500987,7204.570539236069,1.6545831385883503e-05,6.102857810219575e-07,4.630062609353724e-13,6.550725811393932e-05,4.896142490906641e-05,14.166089057922363,0.25
16,17000,1,10,201.86433815956116,18.1890933876058,7648.299834012985,1.3145931006874889e-05,3.4358996003902575e-07,1.5655789924011454e-13,4.786266799783334e-05,3.471673699095845e-05,16.38468360900879,0.25
17,18000,1,10,209.8992419242859,18.803936062710616,8100.380489110947,9.330570719612297e-06,1.7939852625659114e-07,4.5261706980038313e-14,3.7862075259909034e-05,2.8531503630802035e-05,19.011669158935547,0.25
18,19000,1,10,220.86696600914001,19.41877873781543,8570.744527578354,6.690998816338833e-06,1.089129710862835e-07,1.5232020695752843e-14,2.7456415409687907e-05,2.076541568385437e-05,24.0389461517334,0.25
19,20000,1,10,225.91325092315674,20.033621412920244,9046.285691738129,4.907824516296387,0.9815647006034851,3.0107221603393555,-94.51991271972656,-96.4170150756836,24.12049102783203,0.25
20,21000,1,10,266.80966210365295,20.61119442071961,9529.34338259697,4.946983337402344,0.9893965721130371,3.059039354324341,-66.73947143554688,-68.6274185180664,28.47124671936035,0.25
21,22000,1,10,260.32136511802673,21.178801071050977,9981.12323474884,4.896678924560547,0.9793357849121094,2.997159719467163,-6.590810298919678,-8.49032974243164,28.974609375,0.25
22,23000,1,10,267.830039024353,21.746407721382344,10418.441785097122,5.150343894958496,1.0300687551498413,3.3157308101654053,64.88164520263672,63.04703140258789,33.84013366699219,0.25
23,24000,1,10,281.52113795280457,22.31401437171371,10845.393963575363,2.4606342776678503e-05,4.921976596961031e-06,5.1442995696593385e-11,6.774505163775757e-05,4.3138759792782366e-05,35.31538009643555,0.25
24,25000,1,10,295.8701539039612,22.881621022045078,11268.893181324005,2.8189990189275704e-05,5.656671874021413e-06,8.065000750567819e-11,-0.00017919282254297286,-0.00020738273451570421,33.563377380371094,0.25
25,26000,1,10,310.9186329841614,23.449227672376445,11687.06882929802,3.9220080375671387,0.784401535987854,1.922766089439392,-9.881814002990723,-11.88105583190918,35.795082092285156,0.25
26,27000,1,10,314.85347604751587,24.016834322707812,12111.51182770729,4.120344161987305,0.8240688443183899,2.1221535205841064,-3.836071729660034,-5.834262371063232,38.091224670410156,0.25
27,28000,1,10,329.3611218929291,24.55884273239559,12539.283088207245,3.8897829055786133,0.7779566645622253,1.8913013935089111,-0.8099636435508728,-2.8084452152252197,38.33438491821289,0.25
28,29000,1,10,340.886057138443,25.08164062938058,12973.428450345993,7.376216672128066e-06,1.4737552191945724e-06,6.0892029266068626e-12,7.738722342764959e-05,7.001101039350033e-05,43.71720504760742,0.25
29,30000,1,10,353.48965406417847,25.60443852636557,13398.048686027527,7.435436600644607e-06,1.4856642565064249e-06,6.4806944533035704e-12,5.161235458217561e-05,4.4176922529004514e-05,43.858482360839844,0.25
30,31000,1,10,361.6031491756439,26.127236423350563,13831.426887273788,7.1975027822190896e-06,1.4351060144690564e-06,6.1790438217468324e-12,-8.20079912955407e-06,-1.5398294635815546e-05,45.915924072265625,0.25
31,32000,1,10,365.9149811267853,26.650034320335553,14247.178906679153,6.7073319769406226e-06,1.341380198027764e-06,5.4909163153815665e-12,-1.3471400052367244e-05,-2.0178726117592305e-05,40.68059539794922,0.25
32,33000,1,10,383.0309908390045,27.172832217320543,14673.32110953331,6.725986168021336e-06,1.3475037121679634e-06,5.5803799081655114e-12,4.316875129006803e-05,3.64427687600255e-05,38.30579376220703,0.25
33,34000,1,10,382.3178279399872,27.695630114305533,15117.384253263474,4.332435310061555e-06,8.660053936182521e-07,2.300364109267261e-12,2.758488517429214e-05,2.325245259271469e-05,34.28825759887695,0.25
34,35000,1,10,396.5995030403137,28.218428011290523,15558.926702260971,3.0976686957728816e-06,6.172648454594309e-07,1.1383794297839533e-12,4.155985880061053e-05,3.8462192605948076e-05,34.53782272338867,0.25
35,36000,1,10,421.6649839878082,28.741225908275513,15976.957633018494,2.3945715383888455e-06,4.797419137503312e-07,7.028873468505059e-13,3.340350303915329e-05,3.100893081864342e-05,39.284263610839844,0.25
36,37000,1,10,411.6632549762726,29.264023805260504,16388.98358440399,1.7844122339738533e-06,3.571830404780485e-07,3.8898935071293717e-13,2.13541370612802e-05,1.9569724827306345e-05,34.36648941040039,0.25
37,38000,1,10,451.96894788742065,29.786821702245494,16802.687599658966,1.3502344700100366e-06,2.679065005395387e-07,2.186548739378097e-13,2.410011256870348e-05,2.2749878553440794e-05,29.472820281982422,0.25
38,39000,1,10,461.5715608596802,30.28961562563804,17200.048493146896,8.111374540931138e-07,1.6972383320990048e-07,8.649549446907573e-14,7.445834853569977e-06,6.634697456320282e-06,24.053035736083984,0.25
39,40000,1,10,451.2174379825592,30.769837880386564,17670.669583559036,7.438155762429233e-07,1.4218895216799865e-07,6.021251612543452e-14,7.748465577606112e-06,7.004649887676351e-06,22.316818237304688,0.25
